               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.031112,             0.02515,           0.0014757,             0.70862,             0.79344,             0.74312,             0.44669,            0.031745,            0.016806,            0.001715,           0.0082019,           0.0082019,           0.0082019
                  61,            0.032436,            0.025745,            0.001405,             0.66882,             0.75697,             0.74421,              0.4402,            0.031288,            0.016713,           0.0018593,            0.008145,            0.008145,            0.008145
                  62,            0.032877,            0.024801,           0.0014575,             0.75209,             0.75978,             0.75494,             0.45184,            0.033671,            0.017524,           0.0016361,           0.0080875,           0.0080875,           0.0080875
                  63,            0.033458,            0.024266,           0.0014888,             0.74985,             0.78021,             0.76992,             0.47199,            0.032053,            0.016497,           0.0014997,           0.0080294,           0.0080294,           0.0080294
                  64,            0.033977,            0.024209,           0.0017152,             0.72287,              0.7524,             0.76188,             0.45155,            0.032332,            0.016745,           0.0015377,           0.0079706,           0.0079706,           0.0079706
                  65,            0.032195,            0.023644,           0.0012466,             0.65766,             0.78756,             0.73141,             0.45977,            0.030934,              0.0162,           0.0017407,           0.0079112,           0.0079112,           0.0079112
                  66,            0.031188,            0.024285,           0.0014361,             0.71087,              0.7682,             0.73627,             0.45319,            0.031901,            0.017343,           0.0016573,           0.0078512,           0.0078512,           0.0078512
                  67,            0.030645,            0.024046,           0.0013072,             0.69342,             0.76358,              0.7188,             0.45523,             0.03184,            0.016946,           0.0016737,           0.0077907,           0.0077907,           0.0077907
                  68,             0.02916,            0.024275,           0.0014702,             0.74508,             0.76732,             0.75569,             0.46039,            0.031946,            0.016077,           0.0020813,           0.0077296,           0.0077296,           0.0077296
                  69,            0.029725,            0.024201,           0.0014224,             0.71005,             0.82703,             0.76103,             0.45856,            0.031987,            0.015919,           0.0022058,           0.0076679,           0.0076679,           0.0076679
                  70,            0.031121,            0.021906,           0.0016875,             0.70093,             0.75391,             0.73777,             0.42146,              0.0335,            0.015856,           0.0018259,           0.0076057,           0.0076057,           0.0076057
                  71,             0.03048,            0.024384,           0.0014286,             0.74875,             0.77014,             0.79529,             0.49294,            0.030258,            0.015775,           0.0014904,            0.007543,            0.007543,            0.007543
                  72,            0.028892,            0.023256,           0.0013396,             0.77112,             0.80837,             0.79706,               0.501,            0.030236,            0.016184,           0.0012879,           0.0074797,           0.0074797,           0.0074797
                  73,            0.029765,            0.022691,           0.0014287,             0.78133,             0.76581,             0.77615,             0.47019,            0.031079,            0.016551,           0.0014843,            0.007416,            0.007416,            0.007416
                  74,            0.030615,            0.023166,           0.0012939,             0.71062,             0.81805,             0.74953,             0.45293,            0.030514,            0.016504,           0.0017918,           0.0073518,           0.0073518,           0.0073518
                  75,             0.03045,            0.024739,           0.0012355,             0.72595,             0.77177,             0.75092,             0.44028,            0.031727,            0.016937,           0.0014447,           0.0072872,           0.0072872,           0.0072872
                  76,            0.028676,            0.023189,           0.0014961,             0.72982,             0.77257,             0.75971,             0.46363,            0.031277,            0.016489,           0.0014423,           0.0072221,           0.0072221,           0.0072221
                  77,            0.028851,            0.021518,           0.0012301,             0.75105,             0.78003,             0.75623,             0.47207,            0.031997,            0.016501,           0.0016207,           0.0071566,           0.0071566,           0.0071566
                  78,            0.028014,            0.022003,           0.0014734,             0.71532,             0.76359,             0.75596,             0.45817,            0.032477,            0.016959,           0.0016701,           0.0070906,           0.0070906,           0.0070906
                  79,            0.028349,            0.020511,           0.0013926,             0.69795,             0.71391,             0.74183,             0.47034,            0.030631,            0.016474,           0.0017747,           0.0070243,           0.0070243,           0.0070243
                  80,            0.027696,            0.021694,           0.0011995,             0.73351,             0.70167,             0.75442,             0.48929,            0.029587,             0.01605,           0.0014432,           0.0069576,           0.0069576,           0.0069576
                  81,            0.028443,            0.023286,           0.0011319,             0.68482,               0.789,             0.74342,             0.48437,            0.029567,            0.015934,           0.0017232,           0.0068906,           0.0068906,           0.0068906
                  82,            0.026811,            0.021487,           0.0011232,             0.76759,             0.77174,             0.77486,             0.48501,            0.029317,            0.016517,           0.0013483,           0.0068232,           0.0068232,           0.0068232
                  83,            0.025669,            0.021901,           0.0010771,             0.78167,             0.77257,             0.79023,             0.50554,            0.028661,            0.016783,           0.0011776,           0.0067555,           0.0067555,           0.0067555
                  84,            0.026435,            0.022211,           0.0012437,             0.77955,             0.74947,              0.7788,             0.50065,            0.029228,            0.016541,           0.0013287,           0.0066874,           0.0066874,           0.0066874
                  85,            0.027595,            0.022975,          0.00094494,             0.77645,             0.75088,             0.76817,             0.48677,            0.029625,            0.016596,           0.0014215,           0.0066191,           0.0066191,           0.0066191
                  86,            0.026994,            0.022064,           0.0010303,             0.74633,             0.78678,             0.75592,             0.47146,            0.030569,            0.016582,           0.0016147,           0.0065505,           0.0065505,           0.0065505
                  87,            0.027506,            0.020967,           0.0011328,              0.7305,             0.78707,             0.74004,             0.47211,            0.029731,            0.016721,           0.0015655,           0.0064816,           0.0064816,           0.0064816
                  88,            0.027368,            0.020949,          0.00093178,             0.69898,             0.81395,             0.75212,             0.47826,            0.030335,            0.016344,           0.0015658,           0.0064125,           0.0064125,           0.0064125
                  89,            0.028517,            0.021835,           0.0010897,             0.70435,             0.80802,             0.74562,             0.47819,            0.030098,            0.015809,           0.0017827,           0.0063432,           0.0063432,           0.0063432
                  90,            0.025623,            0.020883,           0.0012298,             0.73832,             0.81432,             0.76756,             0.50051,            0.029522,            0.016089,           0.0020158,           0.0062737,           0.0062737,           0.0062737
                  91,            0.025511,            0.021415,           0.0010324,             0.77794,             0.79282,             0.76915,             0.51613,            0.029983,            0.015872,           0.0019775,            0.006204,            0.006204,            0.006204
                  92,            0.024697,            0.021227,           0.0011801,             0.72184,             0.79869,             0.75479,             0.47247,            0.031579,            0.015843,           0.0019025,           0.0061341,           0.0061341,           0.0061341
                  93,             0.02553,            0.021198,           0.0010721,             0.77526,             0.76336,             0.77482,             0.48857,            0.030787,             0.01613,           0.0017448,            0.006064,            0.006064,            0.006064
                  94,             0.02399,            0.019469,          0.00096521,             0.74159,             0.77885,             0.78815,             0.49018,            0.031271,            0.016353,            0.001729,           0.0059938,           0.0059938,           0.0059938
                  95,            0.025878,            0.019965,           0.0010121,             0.76731,             0.77987,             0.77327,             0.50037,            0.030056,            0.016515,            0.001614,           0.0059235,           0.0059235,           0.0059235
                  96,            0.023321,            0.021401,          0.00091474,             0.76185,             0.79109,             0.77033,             0.51111,            0.029118,            0.016562,           0.0015145,           0.0058531,           0.0058531,           0.0058531
                  97,            0.024207,            0.020116,           0.0010376,             0.76794,             0.77106,             0.76616,             0.50527,            0.029164,            0.016602,            0.001512,           0.0057826,           0.0057826,           0.0057826
                  98,            0.025471,              0.0212,           0.0010543,             0.74391,             0.78376,             0.76444,              0.4978,             0.02999,            0.017202,           0.0016007,            0.005712,            0.005712,            0.005712
                  99,             0.02399,            0.022109,           0.0010704,             0.77678,             0.73898,             0.76764,             0.50302,            0.029344,            0.017065,           0.0012758,           0.0056413,           0.0056413,           0.0056413
                 100,            0.022377,            0.021432,           0.0010395,             0.74725,             0.81654,             0.78908,             0.51046,            0.030057,            0.016832,           0.0013384,           0.0055707,           0.0055707,           0.0055707
                 101,            0.023519,            0.020268,          0.00087964,             0.76748,             0.78598,             0.78861,             0.51185,            0.029954,            0.016674,           0.0012331,              0.0055,              0.0055,              0.0055
                 102,            0.024129,            0.021506,           0.0012042,             0.77141,             0.78154,             0.77751,             0.52842,            0.029921,            0.016532,           0.0012681,           0.0054293,           0.0054293,           0.0054293
                 103,            0.022948,            0.021076,           0.0010295,             0.80819,             0.77328,             0.79861,              0.5217,            0.030287,            0.016623,             0.00132,           0.0053587,           0.0053587,           0.0053587
                 104,            0.024181,            0.021607,          0.00099299,             0.83113,              0.7524,             0.80046,             0.52737,            0.030054,            0.016347,           0.0014996,            0.005288,            0.005288,            0.005288
                 105,            0.025682,            0.020454,          0.00097147,             0.78973,             0.78518,             0.78722,              0.5081,            0.031024,            0.016879,           0.0014962,           0.0052174,           0.0052174,           0.0052174
                 106,            0.023706,            0.019607,           0.0010016,             0.78967,             0.78447,             0.78807,             0.51759,            0.029979,            0.016545,           0.0016224,           0.0051469,           0.0051469,           0.0051469
                 107,            0.023456,            0.019851,          0.00087322,             0.75034,             0.78971,              0.7712,             0.49855,            0.029962,            0.016946,            0.001656,           0.0050765,           0.0050765,           0.0050765
                 108,            0.023231,            0.020705,           0.0008456,             0.76533,             0.80313,             0.76945,             0.50611,            0.029548,            0.016939,           0.0018149,           0.0050062,           0.0050062,           0.0050062
                 109,             0.02216,            0.018412,          0.00087627,             0.77996,             0.81281,             0.79293,             0.50764,            0.029551,            0.016128,           0.0015635,            0.004936,            0.004936,            0.004936
                 110,             0.02249,            0.020126,          0.00096565,             0.80743,             0.77823,             0.78406,             0.49376,            0.030115,            0.016587,           0.0014651,           0.0048659,           0.0048659,           0.0048659
                 111,            0.022282,            0.019821,           0.0010145,             0.78532,             0.76397,              0.7775,             0.51282,            0.028756,            0.016357,           0.0016977,            0.004796,            0.004796,            0.004796
                 112,            0.021479,            0.019447,          0.00086662,             0.79859,             0.75693,             0.79274,             0.52275,            0.028386,            0.017025,           0.0016232,           0.0047263,           0.0047263,           0.0047263
                 113,            0.022461,            0.018994,          0.00070396,             0.80652,             0.74638,             0.78207,             0.51846,            0.028419,            0.016876,            0.001477,           0.0046568,           0.0046568,           0.0046568
                 114,            0.021058,            0.019824,          0.00088945,             0.74259,             0.82703,             0.78834,             0.51901,            0.027706,            0.016329,           0.0014924,           0.0045875,           0.0045875,           0.0045875
                 115,            0.021169,            0.018579,          0.00084497,             0.80698,             0.79537,             0.79402,             0.53037,            0.027778,            0.016414,           0.0013811,           0.0045184,           0.0045184,           0.0045184
                 116,            0.021174,            0.019947,          0.00081857,             0.78863,              0.8352,             0.80961,             0.53846,            0.027647,            0.016131,           0.0012404,           0.0044495,           0.0044495,           0.0044495
                 117,            0.020739,            0.018582,          0.00080466,             0.79324,             0.78971,             0.80108,              0.5379,            0.028279,            0.016857,           0.0012623,           0.0043809,           0.0043809,           0.0043809
                 118,            0.020589,            0.019137,          0.00064163,             0.83336,             0.79042,             0.80296,             0.53095,            0.027555,            0.016323,           0.0011275,           0.0043126,           0.0043126,           0.0043126
                 119,            0.021357,            0.018525,          0.00093941,             0.75792,             0.82774,             0.79514,             0.53146,            0.027019,            0.015686,           0.0010965,           0.0042445,           0.0042445,           0.0042445
                 120,             0.01997,            0.019752,           0.0007379,             0.78127,             0.79825,             0.79199,             0.52512,            0.027607,            0.016066,           0.0012492,           0.0041768,           0.0041768,           0.0041768
                 121,            0.021616,            0.018653,          0.00081701,             0.78494,             0.80291,              0.7936,             0.52291,             0.02814,            0.016349,           0.0013423,           0.0041094,           0.0041094,           0.0041094
                 122,            0.021236,            0.018424,          0.00087858,             0.79339,             0.78976,             0.78968,             0.52908,            0.028037,            0.016338,           0.0014133,           0.0040424,           0.0040424,           0.0040424
                 123,            0.019864,            0.018961,          0.00098481,             0.79472,             0.79068,             0.79217,              0.5344,            0.027817,            0.016517,           0.0014745,           0.0039757,           0.0039757,           0.0039757
                 124,            0.019994,            0.018813,          0.00085499,             0.77165,             0.81879,              0.7892,             0.53778,            0.028145,            0.016943,           0.0015372,           0.0039094,           0.0039094,           0.0039094
                 125,            0.020861,            0.019734,          0.00090708,               0.834,             0.77801,             0.79516,             0.53562,            0.028368,            0.016844,           0.0014487,           0.0038434,           0.0038434,           0.0038434
                 126,            0.020277,            0.017754,          0.00080846,             0.83787,             0.76269,             0.79406,             0.55405,            0.027946,            0.015961,           0.0012507,           0.0037779,           0.0037779,           0.0037779
                 127,            0.020308,            0.017375,          0.00068642,              0.7884,             0.79627,             0.79295,             0.54788,            0.027674,            0.016117,           0.0012685,           0.0037128,           0.0037128,           0.0037128
                 128,            0.020467,             0.01958,           0.0006664,             0.79577,             0.79273,             0.79842,             0.53927,            0.027674,            0.015941,           0.0013266,           0.0036482,           0.0036482,           0.0036482
                 129,             0.01959,             0.01813,           0.0005888,             0.81491,             0.78419,             0.79789,             0.54589,            0.027164,            0.015732,           0.0012177,            0.003584,            0.003584,            0.003584
                 130,            0.020093,            0.018945,          0.00078678,             0.76108,             0.81062,             0.80852,             0.54611,            0.027484,            0.015942,             0.00134,           0.0035203,           0.0035203,           0.0035203
                 131,             0.01952,            0.017555,          0.00080405,             0.78266,             0.80564,             0.80111,             0.54514,            0.027502,            0.015961,            0.001427,            0.003457,            0.003457,            0.003457
                 132,            0.018632,            0.017915,          0.00083902,             0.77772,             0.80808,             0.80069,             0.53564,            0.027438,            0.016009,           0.0013725,           0.0033943,           0.0033943,           0.0033943
